1.#INF00;1.#INF00;9.944306e-001;0.002000
2.760584;1.265267;1.535696e-003;0.017000
2.420042;1.109186;1.523609e-003;0.018000
2.480898;1.137078;1.511625e-003;0.020000
2.954606;1.354194;1.499743e-003;0.017000
2.621659;1.201594;1.487965e-003;0.019000
2.893989;1.326411;1.476289e-003;0.017000
2.825698;1.295112;1.464716e-003;0.018000
2.379003;1.090376;1.453246e-003;0.027000
2.479521;1.136447;1.441878e-003;0.021000
2.790417;1.278941;1.430613e-003;0.018000
2.463807;1.129245;1.419565e-003;0.021000
2.567615;1.176823;1.409400e-003;0.019000
1.670124;0.765474;1.399321e-003;0.029000
2.026541;0.928831;1.389329e-003;0.025000
2.168326;0.993816;1.379422e-003;0.023000
2.517398;1.153807;1.369603e-003;0.020000
3.021070;1.384657;1.359869e-003;0.017000
2.526836;1.158133;1.350223e-003;0.020000
2.465809;1.130163;1.340662e-003;0.021000
2.253029;1.032638;1.331188e-003;0.022000
2.535493;1.162101;1.321800e-003;0.019000
2.720765;1.247017;1.312497e-003;0.018000
2.143655;0.982508;1.303281e-003;0.023000
2.181349;0.999785;1.294150e-003;0.023000
2.566850;1.176473;1.285105e-003;0.020000
2.200832;1.008715;1.276145e-003;0.023000
2.520982;1.155450;1.267270e-003;0.021000
1.971653;0.903674;1.258479e-003;0.025000
2.587920;1.186130;1.249773e-003;0.020000
2.167142;0.993273;1.241151e-003;0.024000
2.155946;0.988142;1.232613e-003;0.024000
2.458658;1.126885;1.224158e-003;0.021000
2.402961;1.101357;1.215787e-003;0.022000
2.123536;0.973287;1.207498e-003;0.024000
1.743924;0.799299;1.199656e-003;0.031000
1.979848;0.907430;1.192139e-003;0.027000
2.469484;1.131847;1.184694e-003;0.020000
2.101737;0.963296;1.177320e-003;0.025000
2.537878;1.163194;1.170018e-003;0.019000
2.365257;1.084076;1.162787e-003;0.021000
2.551621;1.169493;1.155626e-003;0.021000
2.678949;1.227852;1.148537e-003;0.020000
2.503890;1.147616;1.141517e-003;0.022000
2.353639;1.078751;1.134568e-003;0.022000
2.200794;1.008697;1.127688e-003;0.024000
2.404255;1.101950;1.120877e-003;0.023000
1.703910;0.780959;1.114135e-003;0.032000
1.246400;0.571266;1.107462e-003;0.044000
1.222954;0.560521;1.100857e-003;0.044000
1.718034;0.787432;1.094319e-003;0.032000
1.370484;0.628138;1.087849e-003;0.039000
1.624342;0.744490;1.081446e-003;0.035000
1.799995;0.824998;1.075109e-003;0.031000
1.603231;0.734814;1.068838e-003;0.034000
1.854696;0.850069;1.062633e-003;0.031000
1.807311;0.828351;1.056493e-003;0.031000
1.984853;0.909724;1.050418e-003;0.028000
1.668113;0.764552;1.044408e-003;0.032000
1.716121;0.786555;1.038461e-003;0.032000
1.250479;0.573136;1.032578e-003;0.044000
2.387421;1.094235;1.026757e-003;0.024000
2.639345;1.209700;1.021000e-003;0.022000
2.609668;1.196098;1.015304e-003;0.021000
2.597177;1.190373;1.009670e-003;0.022000
2.229435;1.021824;1.004097e-003;0.025000
2.443143;1.119774;9.985848e-004;0.021000
2.181538;0.999872;9.931328e-004;0.025000
1.959174;0.897955;9.877405e-004;0.031000
2.365269;1.084082;9.824075e-004;0.022000
1.079825;0.494920;9.771333e-004;0.051000
1.022922;0.468839;9.719173e-004;0.057000
2.664098;1.221045;9.667609e-004;0.022000
1.513329;0.693609;9.620222e-004;0.040000
2.324682;1.065479;9.573353e-004;0.026000
2.394338;1.097405;9.526996e-004;0.024000
2.483118;1.138096;9.481149e-004;0.022000
2.566587;1.176352;9.435806e-004;0.023000
2.109537;0.966871;9.390964e-004;0.027000
2.250931;1.031677;9.346619e-004;0.025000
2.638306;1.209224;9.302766e-004;0.022000
1.904176;0.872747;9.259402e-004;0.031000
2.181895;1.000035;9.216522e-004;0.027000
1.917271;0.878749;9.174122e-004;0.030000
2.464116;1.129386;9.132198e-004;0.024000
2.530834;1.159965;9.090746e-004;0.023000
1.524448;0.698705;9.049761e-004;0.038000
1.969913;0.902877;9.009240e-004;0.030000
2.746060;1.258611;8.969178e-004;0.022000
2.559375;1.173047;8.929571e-004;0.024000
2.690961;1.233357;8.890415e-004;0.023000
2.521113;1.155510;8.851706e-004;0.024000
2.564957;1.175605;8.813440e-004;0.024000
2.510843;1.150803;8.775613e-004;0.025000
2.232137;1.023063;8.738219e-004;0.026000
2.319988;1.063328;8.701257e-004;0.028000
2.310434;1.058949;8.664720e-004;0.026000
2.368420;1.085526;8.628606e-004;0.026000
2.295648;1.052172;8.592910e-004;0.027000
2.290779;1.049940;8.557628e-004;0.027000
2.386072;1.093616;8.522756e-004;0.025000
1.844415;0.845357;8.488291e-004;0.033000
2.601646;1.192421;8.454227e-004;0.024000
2.395884;1.098114;8.420562e-004;0.027000
2.079745;0.953216;8.387291e-004;0.030000
2.489333;1.140944;8.354410e-004;0.025000
2.548178;1.167915;8.321915e-004;0.023000
2.609110;1.195842;8.289803e-004;0.024000
2.457232;1.126231;8.258069e-004;0.025000
2.573000;1.179291;8.226710e-004;0.024000
2.589778;1.186982;8.195722e-004;0.024000
2.729185;1.250876;8.165101e-004;0.023000
2.528049;1.158689;8.134843e-004;0.024000
2.198276;1.007543;8.104945e-004;0.029000
2.657230;1.217897;8.075402e-004;0.024000
2.507355;1.149204;8.046212e-004;0.025000
2.927471;1.341758;8.017369e-004;0.021000
2.249421;1.030985;7.988872e-004;0.029000
2.345853;1.075183;7.960715e-004;0.028000
2.067010;0.947380;7.932896e-004;0.030000
2.464583;1.129601;7.905411e-004;0.024000
1.107083;0.507413;7.878256e-004;0.059000
2.704312;1.239476;7.851427e-004;0.024000
2.591842;1.187927;7.824922e-004;0.025000
2.719540;1.246456;7.798736e-004;0.023000
2.687025;1.231553;7.772867e-004;0.025000
2.646240;1.212860;7.747310e-004;0.026000
1.407409;0.645062;7.722063e-004;0.046000
2.414869;1.106815;7.697122e-004;0.029000
2.223095;1.018918;7.672483e-004;0.030000
1.142734;0.523753;7.648144e-004;0.057000
2.583238;1.183984;7.624101e-004;0.027000
2.533015;1.160965;7.600350e-004;0.026000
2.640414;1.210190;7.576889e-004;0.023000
